date,title,skills
2020-10-23,Системный администратор/инженер с разговорным английским языком,"Поддержка,Средний (Middle),Техническая поддержка,Системное администрирование,Администрирование Windows,Администрирование сетей,Администрирование серверов,Администрирование Linux"
2020-10-23,Системный администратор,"Администрирование,Средний (Middle),Техническая поддержка,Администрирование Windows,Системное администрирование,Администрирование сетей,Администрирование Linux,Настройка и ремонт компьютерной техники"
2020-10-23,Специалист Service Desk,"Поддержка,Младший (Junior),Техническая поддержка,It-консультирование"
2020-10-23,Java performance tuning engineer,"Бэкенд,Старший (Senior),Java,Spring Boot,Rabbitmq,PostgreSQL,SQL"
2020-10-23,Junior Java developer,"Бэкенд,Младший (Junior),Java,SQL"
2020-10-23,Java developer,"Бэкенд,Средний (Middle),Java,Hibernate,Java spring framework,Apache camel,SQL"
2020-10-23,Front-end developer (React),"Фронтенд,Старший (Senior),JavaScript,Webrtc,ReactJS,Redux,Typescript,Websockets"
2020-10-22,Разработчик SharePoint,"Фронтенд,Средний (Middle),JavaScript,.NET,SQL,ООП,Sharepoint"
2020-10-21,Технический писатель,"Контент,Старший (Senior),Написание инструкций,Редактура и корректура"
2020-10-21,Архитектор CRM,"Аналитика,Старший (Senior),Внедрение CRM,Бизнес аналитика,MS Dynamics CRM"
2020-10-21,Архитектор CRM,"Аналитика,Старший (Senior),Внедрение CRM,Бизнес аналитика,MS Dynamics CRM"
2020-10-21,Архитектор CRM,"Аналитика,Старший (Senior),Внедрение CRM,Бизнес аналитика,MS Dynamics CRM"
2020-10-21,Java performance tuning engineer,"Бэкенд,Старший (Senior),Java,Spring Boot,Rabbitmq,PostgreSQL,SQL"
2020-10-21,Java performance tuning engineer,"Бэкенд,Старший (Senior),Java,Spring Boot,Rabbitmq,PostgreSQL,SQL"
2020-10-21,Front-end developer (React),"Фронтенд,Старший (Senior),JavaScript,Webrtc,ReactJS,Redux,Typescript,Websockets"
2020-10-21,Junior Java developer,"Бэкенд,Младший (Junior),Java,SQL"
2020-10-20,Аналитик-разработчик Qlik,"Аналитика,Средний (Middle),Qlikview,Business intelligence,Qlik Sense"
2020-10-22,Разработчик ETL-процессов,"Бэкенд,Средний (Middle),SQL,Dwh,Базы данных"
