date,title,skills
2019-05-28,Scala-разработчик,"Бэкенд,Scala,HTTP,Websockets"
2019-04-18,Full-Stack .NET Developer,"Разработка ПО,Старший (Senior),.NET,Высоконагруженные системы,Rabbitmq,Elasticsearch,Angular"
2019-04-18,Full-Stack .NET Developer ,"Разработка ПО,Старший (Senior),C#,Asp.net,SQL,ASP.NET MVC,.net core,PostgreSQL,Elasticsearch,Высоконагруженные системы"
2019-04-17,Инженер по тестированию,"Тестирование,Старший (Senior),Функциональное тестирование,Ручное тестирование,Разработка тест-кейсов,Регрессионное тестирование,Тестирование ПО,Teamcity,Jenkins,Soapui,Тестирование сайтов"
2019-04-17,Front-end разработчик (Angular),"Фронтенд,Средний (Middle),JavaScript,Angular"
2019-04-02,Mobile Automation Engineer,"Тестирование,Старший (Senior),Swift,Kotlin"
2019-04-02,Инженер по нагрузочному тестированию,"Тестирование,Старший (Senior),Java"
2019-03-28,Разработчик front-end (React),"Фронтенд,Средний (Middle),ReactJS,Typescript,Babel,Webpack"
2019-03-19,Разработчик front-end (React),"Фронтенд,JavaScript,ReactJS"
2019-02-25,Android разработчик,"Разработка ПО,Java,Kotlin"
2019-02-25, IOS разработчик,"Разработка ПО,Swift,Objective-С"
2019-02-01,Full-stack разработчик (Node JS),"Бэкенд,Node.js,JavaScript"
2018-10-29,Senior/Team Lead Kotlin (Back-end),"Бэкенд,Kotlin"
2018-10-29,Scala разработчик,"Разработка ПО,Scala"
2018-09-26,Middle Front-end Developer,"Фронтенд,JavaScript,Angular,Typescript"
2018-08-15,Разработчик front-end (Angular),"Фронтенд,JavaScript,Angular"
2018-07-13,Руководитель группы технической поддержки,"Поддержка,Техническая поддержка,SQL,Rest,Soap,Jira,Построение команды,Управление людьми,Поддержка клиентов,Информационные технологии"
2018-07-10,QA engineer,"Тестирование,SQL,Teamcity,Тестирование ПО,Функциональное тестирование,Разработка тест-кейсов,Автоматизация тестирования,Selenium"
